FILEPATH,FILENAME,HYDROPHONENAME,FILETIME_SEC_FROMMIDNIGHT,SIGNALTIME_SEC_FROMMIDNIGHT,TAGCODE,TOA_MICRO_SEC,SNR_DB,CRC,PHASEMARGIN,CHANNEL
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.43.0156316.bwm,P18DN,52423.01563,52423.01972,G7245491E,4091.98,6.25,0,8.44,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.43.0156316.bwm,P18DB,52423.01563,52423.02003,G7245491E,4399.03,12.49,0,8.75,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.45.1685181.bwm,P18DB,52425.16852,52425.17422,G7245491E,5704.93,14.05,0,8.75,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.47.3410665.bwm,P18DN,52427.34107,52427.34344,G7245491E,2372.42,7.84,0,7.5,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.47.3410665.bwm,P18DB,52427.34107,52427.34428,G7245491E,3212.57,12.78,0,8.78,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.47.3410665.bwm,P18DB,52427.34107,52427.34428,G7245491E,3214.39,14.72,0,8.88,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.49.5136138.bwm,P18DB,52429.51361,52429.51768,G7245491E,4066.22,17.32,0,8.31,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.51.6894380.bwm,P18DB,52431.68944,52431.69402,G7245491E,4585.35,14.88,0,8.75,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.51.7090992.bwm,P18DN,52431.7091,52431.71239,G7253EA15,3292.77,9.6,0,7.41,1
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.52.4726038.bwm,P18DN,52432.4726,52432.47729,G726D97E1,4687.88,10.44,0,8.69,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.52.5217563.bwm,P18DN,52432.52176,52432.52651,G724DE105,4757,10.05,0,8.62,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.52.5217563.bwm,P18DB,52432.52176,52432.52683,G724DE105,5070.3,21.84,0,8.81,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.52.5217563.bwm,P18DB,52432.52176,52432.52683,G724DE105,5072.74,20.09,0,8.94,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.53.8587087.bwm,P18DB,52433.85871,52433.86425,G7253EA15,5540.55,17.75,0,8.03,2
