point_id,gpstime,easting  ,northing  ,lat  ,long 
1,13:55:01,2387714.045,220595.164,45.6427988,-121.9404764
2,13:55:02,2387714.046,220595.160,45.6427987,-121.9404764
3,13:55:03,2387714.049,220595.162,45.6427988,-121.9404764
4,13:55:04,2387714.520,220595.368,45.6428007,-121.9404704
5,13:55:05,2387714.520,220595.368,45.6428007,-121.9404704
6,13:55:06,2387714.517,220595.364,45.6428007,-121.9404704
7,13:55:07,2387714.521,220595.370,45.6428007,-121.9404704
8,13:55:08,2387714.513,220595.367,45.6428007,-121.9404705
9,13:55:09,2387714.522,220595.362,45.6428006,-121.9404703
10,13:55:10,2387714.519,220595.369,45.6428007,-121.9404704
11,13:55:11,2387714.524,220595.362,45.6428006,-121.9404703
12,13:55:12,2387714.531,220595.362,45.6428006,-121.9404702
13,13:55:13,2387714.536,220595.363,45.6428006,-121.9404702
14,13:55:14,2387714.533,220595.363,45.6428006,-121.9404702
15,13:55:15,2387714.527,220595.362,45.6428006,-121.9404703
16,13:55:16,2387714.532,220595.356,45.6428006,-121.9404702
17,13:55:17,2387714.532,220595.356,45.6428006,-121.9404702
18,13:55:18,2387714.536,220595.361,45.6428006,-121.9404702
19,13:55:19,2387714.533,220595.365,45.6428007,-121.9404702
20,13:55:20,2387714.539,220595.359,45.6428006,-121.9404701
21,13:55:21,2387714.549,220595.358,45.6428006,-121.9404700
22,13:55:22,2387714.545,220595.356,45.6428006,-121.9404700
23,13:55:23,2387714.537,220595.367,45.6428007,-121.9404702
24,13:55:24,2387714.540,220595.363,45.6428006,-121.9404701
25,13:55:25,2387714.542,220595.346,45.6428005,-121.9404701
26,13:55:26,2387714.545,220595.350,45.6428005,-121.9404700
27,13:55:27,2387714.546,220595.359,45.6428006,-121.9404700
28,13:55:28,2387714.567,220595.311,45.6428002,-121.9404697
29,13:55:29,2387714.583,220595.311,45.6428002,-121.9404696
30,13:55:30,2387714.572,220595.322,45.6428003,-121.9404697
31,13:55:31,2387714.557,220595.330,45.6428003,-121.9404699
32,13:55:32,2387714.535,220595.346,45.6428005,-121.9404702
33,13:55:33,2387714.547,220595.357,45.6428006,-121.9404700
34,13:55:34,2387714.537,220595.325,45.6428003,-121.9404701
35,13:55:35,2387714.570,220595.314,45.6428002,-121.9404697
36,13:55:36,2387714.594,220595.303,45.6428001,-121.9404694
37,13:55:37,2387714.569,220595.319,45.6428002,-121.9404697
38,13:55:38,2387714.537,220595.353,45.6428006,-121.9404701
39,13:55:39,2387714.556,220595.350,45.6428005,-121.9404699
40,13:55:40,2387714.542,220595.345,45.6428005,-121.9404701
41,13:55:41,2387714.556,220595.339,45.6428004,-121.9404699
42,13:55:42,2387714.569,220595.336,45.6428004,-121.9404697
43,13:55:43,2387714.563,220595.327,45.6428003,-121.9404698
44,13:55:44,2387714.561,220595.325,45.6428003,-121.9404698
45,13:55:45,2387714.570,220595.323,45.6428003,-121.9404697
46,13:55:46,2387714.564,220595.324,45.6428003,-121.9404698
47,13:55:47,2387714.558,220595.323,45.6428003,-121.9404699
48,13:55:48,2387714.564,220595.339,45.6428004,-121.9404698
49,13:55:49,2387714.558,220595.341,45.6428004,-121.9404699
50,13:55:50,2387714.557,220595.334,45.6428004,-121.9404699
51,13:55:51,2387714.565,220595.335,45.6428004,-121.9404698
52,13:55:52,2387714.570,220595.335,45.6428004,-121.9404697
53,13:55:53,2387714.561,220595.327,45.6428003,-121.9404698
54,13:55:54,2387714.560,220595.332,45.6428004,-121.9404698
55,13:55:55,2387714.561,220595.338,45.6428004,-121.9404698
56,13:55:56,2387714.553,220595.334,45.6428004,-121.9404699
57,13:55:57,2387714.560,220595.337,45.6428004,-121.9404699
58,13:55:58,2387714.554,220595.340,45.6428004,-121.9404699
