YearMonthDay,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Max5Speed,Max5Dir,Max2Speed,Max2Dir
20151101,61,49,55,48,50,10,0.14,29.64,29.88,7.7,20,8.7,28,240,21,250
20151102,57,41,49,45,47,16,0.12,29.69,29.94,1.8,28,2.3,15,10,13,10
20151103,56,35,46,39,41,19,0,29.8,30.06,2,36,2.9,16,360,12,360
20151104,46,31,39,37,39,26,0,29.94,30.2,0.7,31,1.4,11,300,9,290
20151105,51,42,47,44,46,18,0.05,29.98,30.24,0.7,23,1.2,12,190,10,170
20151106,59,38,49,45,47,16,0,30.03,30.28,0.3,26,1.5,9,180,7,160
20151107,52,38,45,45,46,20,0.38,29.72,29.98,2.5,18,4.6,24,170,18,170
20151108,52,45,49,46,47,16,0.21,29.59,29.83,1.3,17,2.4,14,330,12,290
20151109,51,36,44,40,42,21,0.01,29.72,29.97,0.5,17,1.4,10,160,8,170
20151110,46,34,40,38,43,25,0.01,30.01,30.27,0.5,23,2.4,16,180,13,180
20151111,53,39,46,42,44,19,0.17,30.09,30.33,1,20,3.3,22,190,15,190
20151112,49,37,43,42,43,22,0.02,30,30.26,6.7,17,7,25,180,17,180
20151113,56,49,53,49,51,12,0.09,29.73,29.98,13.2,18,13.3,25,180,20,180
20151114,58,55,57,46,51,8,0.15,29.42,29.67,13.3,17,13.6,29,180,22,180
20151115,56,35,46,42,45,19,0.21,29.58,29.82,4.8,27,7.3,35,310,29,310
20151116,47,34,41,39,40,24,0.52,29.89,30.15,7.6,17,9,28,160,21,160
20151117,57,43,50,48,50,15,0.74,29.72,29.97,9.7,20,13.4,36,200,24,270
20151118,50,35,43,41,43,22,0.34,30.01,30.27,0.5,1,2.8,18,340,15,350
20151119,47,32,40,40,41,25,0.38,29.88,30.13,2.6,36,4.9,14,310,12,310
20151120,51,30,41,32,37,24,0,30.15,30.41,4.5,5,6.6,29,80,20,70
20151121,51,26,39,28,33,26,0,30.02,30.29,2.1,35,3.1,10,60,9,60
20151122,45,24,35,29,31,30,0,29.82,30.08,1.2,31,1.2,6,310,6,310
20151123,41,24,33,31,33,32,0.33,29.62,29.88,1.4,31,1.6,8,140,6,290
20151124,41,32,37,35,37,28,0.27,29.63,29.88,2.6,30,3.5,17,300,13,310
20151125,46,26,36,27,32,29,0,29.96,30.22,2.8,34,4.2,13,70,10,60
20151126,50,20,35,21,29,30,0,30.14,30.4,2.9,6,5.4,24,70,18,70
20151127,50,22,36,21,30,29,0,30.09,30.36,1.7,4,4.6,20,80,15,80
20151128,50,23,37,22,30,28,0,30.01,30.27,1.7,2,4.4,20,80,15,90
20151129,43,21,32,22,27,33,0,29.96,30.22,1.1,30,1.3,8,300,6,90
20151130,34,19,27,24,27,38,0.01,29.92,30.18,1,30,1.4,8,270,7,270
