Id,Label,sex
0.0,Beak,male
1.0,Beescratch,male
2.0,Bumper,male
3.0,CCL,female
4.0,Cross,male
5.0,DN16,female
6.0,DN21,male
7.0,DN63,female
8.0,Double,female
9.0,Feather,male
10.0,Fish,female
11.0,Five,female
12.0,Fork,male
13.0,Gallatin,male
14.0,Grin,female
15.0,Haecksel,male
16.0,Hook,female
17.0,Jet,male
18.0,Jonah,male
19.0,Knit,male
20.0,Kringel,female
21.0,MN105,male
22.0,MN23,male
23.0,MN60,male
24.0,MN83,male
25.0,Mus,male
26.0,Notch,male
27.0,Number1,male
28.0,Oscar,male
29.0,Patchback,male
30.0,PL,male
31.0,Quasi,male
32.0,Ripplefluke,unknown
33.0,Scabs,female
34.0,Shmuddel,female
35.0,SMN5,male
36.0,SN100,female
37.0,SN4,female
38.0,SN63,female
39.0,SN89,female
40.0,SN9,female
41.0,SN90,male
42.0,SN96,male
43.0,Stripes,female
44.0,Thumper,male
45.0,Topless,male
46.0,TR120,female
47.0,TR77,female
48.0,TR82,unknown
49.0,TR88,female
50.0,TR99,female
51.0,Trigger,female
52.0,TSN103,female
53.0,TSN83,unknown
54.0,Upbang,male
55.0,Vau,female
56.0,Wave,female
57.0,Web,male
58.0,Whitetip,female
59.0,Zap,unknown
60.0,Zig,male
61.0,Zipfel,male
