"Fire.Year","District","Unit","Fire.Number","Fire.Name","Legal","Latitude","Longitude","Fuel.Model","County","Report.Date","General.Cause","ODF.Acres","Total.Acres"
2015,"51†-†Tillamook","Tillamook",10,"PEERLESS LOOP","T2N R10W S25 NWSE","45∞37'39""","-123∞51'5""","H","Tillamook","7/7/2015 15:00","Miscellaneous",0.01,0.01
2015,"51†-†Tillamook","Tillamook",17,"Clark Road Slash","T1S R9W S26 SENW","45∞27'31""","-123∞45'18""","I","Tillamook","7/10/2015 10:32","Debris Burning",0.05,0.05
2015,"51†-†Tillamook","Tillamook",31,"N. Fork Trask","T1S R7W S28 NWSE","45∞27'12""","-123∞33'7""","H","Tillamook","7/18/2015 18:00","Equipment Use",3.44,3.44
2015,"51†-†Tillamook","Tillamook",35,"WALZ HILL","T1N R10W S35 SESE","45∞31'35""","-123∞51'59""","J","Tillamook","7/21/2015 10:54","Debris Burning",0.01,0.01
2015,"51†-†Tillamook","Tillamook",51,"HWY 53 MP 15","T3N R10E S13 SENE","45∞44'34""","-123∞50'41""","L","Tillamook","7/29/2015 14:55","Equipment Use",0.11,0.11
2015,"51†-†Tillamook","Tillamook",52,"TRESTLE FIRE","T1S R9W S31 NWSE","45∞26'50""","-123∞49'46""","X","Tillamook","7/29/2015 15:23","Miscellaneous",0.01,0.01
2015,"51†-†Tillamook","Tillamook",53,"Nestucca Beach","T5S R11W S1 SESE","45∞9'40.8""","-123∞58'11.1""","L","Tillamook","8/1/2015 10:05","Recreationist",0.01,0.01
2015,"51†-†Tillamook","Tillamook",57,"Bridge Abatement","T3S R9W S25 NESW","45∞16'44.8""","-123∞44'7.2""","X","Tillamook","8/1/2015 21:55","Debris Burning",0.05,0.05
2015,"51†-†Tillamook","Tillamook",71,"HWY 130","T5S R10W S23 SENW","45∞7'30""","-123∞52'40""","G","Tillamook","8/12/2015 8:28","Lightning",0,0.05
2015,"51†-†Tillamook","Tillamook",79,"ALDER JOY","T2S R8W S14 NWSE","45∞23'27""","-123∞38'2""","K","Tillamook","2/24/2015 12:35","Debris Burning",0.15,0.15
