"Month","Monthly riverflow in cms, S. F. Skykomish River near index, Washington, Oct.1923 ? Sep. 1960"
"1923-10",30.384
"1923-11",37.888
"1923-12",81.298
"1924-01",124.084
"1924-02",25.032
"1924-03",39.502
"1924-04",92.200
"1924-05",118.251
"1924-06",110.153
"1924-07",63.005
"1924-08",20.360
"1924-09",12.516
"1924-10",25.032
"1924-11",46.610
"1924-12",84.611
"1925-01",61.193
"1925-02",153.251
"1925-03",35.113
"1925-04",51.961
"1925-05",134.505
"1925-06",73.199
"1925-07",30.016
"1925-08",15.178
"1925-09",13.904
"1925-10",59.890
"1925-11",70.311
"1925-12",114.542
"1926-01",80.618
"1926-02",106.047
"1926-03",44.231
"1926-04",90.841
"1926-05",151.127
"1926-06",97.721
"1926-07",40.182
"1926-08",15.801
"1926-09",9.939
"1926-10",21.238
"1926-11",37.095
"1926-12",135.723
"1927-01",61.533
"1927-02",59.777
"1927-03",54.057
"1927-04",60.570
"1927-05",60.230
"1927-06",27.269
"1927-07",12.006
"1927-08",11.865
"1927-09",19.086
"1927-10",70.764
"1927-11",51.537
"1927-12",60.060
"1928-01",49.073
"1928-02",48.535
"1928-03",36.727
"1928-04",66.573
"1928-05",120.771
"1928-06",160.415
"1928-07",57.936
"1928-08",22.710
"1928-09",48.592
"1928-10",86.650
"1928-11",162.595
"1928-12",82.091
"1929-01",129.295
"1929-02",31.092
"1929-03",76.484
"1929-04",62.920
"1929-05",143.736
"1929-06",83.818
"1929-07",37.095
"1929-08",13.422
"1929-09",11.525
"1929-10",55.218
"1929-11",30.214
"1929-12",27.637
"1930-01",16.849
"1930-02",12.856
"1930-03",48.620
"1930-04",51.820
"1930-05",136.063
"1930-06",129.238
"1930-07",47.261
"1930-08",15.291
"1930-09",9.911
"1930-10",13.054
"1930-11",12.063
"1930-12",45.647
"1931-01",21.804
"1931-02",112.418
"1931-03",59.041
"1931-04",95.116
"1931-05",74.898
"1931-06",66.120
"1931-07",27.241
"1931-08",11.497
"1931-09",10.760
"1931-10",36.274
"1931-11",32.904
"1931-12",28.572
"1932-01",60.655
"1932-02",57.738
"1932-03",77.107
"1932-04",74.303
"1932-05",104.914
"1932-06",79.514
"1932-07",27.213
"1932-08",11.440
"1932-09",16.905
"1932-10",34.263
"1932-11",69.575
"1932-12",41.258
"1933-01",62.609
"1933-02",111.399
"1933-03",114.995
"1933-04",104.546
"1933-05",122.923
"1933-06",131.985
"1933-07",66.516
"1933-08",22.993
"1933-09",16.452
"1933-10",46.270
"1933-11",223.986
"1933-12",95.626
"1934-01",79.061
"1934-02",22.087
"1934-03",48.677
"1934-04",74.898
"1934-05",116.637
"1934-06",194.254
"1934-07",132.580
"1934-08",47.940
"1934-09",55.558
"1934-10",122.499
"1934-11",107.208
"1934-12",267.311
"1935-01",151.042
"1935-02",64.053
"1935-03",121.140
"1935-04",120.177
"1935-05",89.425
"1935-06",46.072
"1935-07",23.758
"1935-08",14.102
"1935-09",16.650
"1935-10",73.907
"1935-11",117.005
"1935-12",80.505
"1936-01",144.218
"1936-02",75.068
"1936-03",46.157
"1936-04",46.468
"1936-05",104.433
"1936-06",122.385
"1936-07",58.673
"1936-08",17.981
"1936-09",13.904
"1936-10",14.951
"1936-11",26.561
"1936-12",32.649
"1937-01",58.927
"1937-02",19.680
"1937-03",53.264
"1937-04",109.501
"1937-05",198.360
"1937-06",142.066
"1937-07",40.323
"1937-08",15.150
"1937-09",15.178
"1937-10",13.564
"1937-11",10.336
"1937-12",87.556
"1938-01",16.849
"1938-02",25.400
"1938-03",52.613
"1938-04",69.773
"1938-05",125.274
"1938-06",178.651
"1938-07",57.002
"1938-08",19.454
"1938-09",12.714
"1938-10",28.232
"1938-11",139.036
"1938-12",92.256
"1939-01",61.108
"1939-02",22.710
"1939-03",43.919
"1939-04",105.480
"1939-05",118.053
"1939-06",94.918
"1939-07",31.772
"1939-08",12.290
"1939-09",9.656
"1939-10",20.955
"1939-11",67.932
"1939-12",89.226
"1940-01",99.789
"1940-02",39.474
"1940-03",56.237
"1940-04",94.069
"1940-05",136.685
"1940-06",105.622
"1940-07",66.941
"1940-08",21.379
"1940-09",14.328
"1940-10",32.140
"1940-11",58.191
"1940-12",108.680
"1941-01",45.618
"1941-02",63.656
"1941-03",70.254
"1941-04",69.858
"1941-05",100.185
"1941-06",46.751
"1941-07",18.548
"1941-08",11.553
"1941-09",9.118
"1941-10",34.886
"1941-11",41.824
"1941-12",55.898
"1942-01",40.635
"1942-02",30.242
"1942-03",34.235
"1942-04",46.440
"1942-05",61.363
"1942-06",40.040
"1942-07",18.293
"1942-08",10.845
"1942-09",44.684
"1942-10",85.942
"1942-11",63.373
"1942-12",89.340
"1943-01",23.192
"1943-02",28.600
"1943-03",34.235
"1943-04",80.958
"1943-05",93.389
"1943-06",111.059
"1943-07",44.259
"1943-08",15.773
"1943-09",10.194
"1943-10",18.179
"1943-11",86.593
"1943-12",73.850
"1944-01",49.838
"1944-02",48.394
"1944-03",66.488
"1944-04",122.782
"1944-05",112.390
"1944-06",139.687
"1944-07",92.398
"1944-08",25.429
"1944-09",14.328
"1944-10",20.303
"1944-11",32.593
"1944-12",84.922
"1945-01",38.964
"1945-02",35.509
"1945-03",43.976
"1945-04",65.610
"1945-05",99.562
"1945-06",73.822
"1945-07",25.174
"1945-08",13.337
"1945-09",36.727
"1945-10",28.628
"1945-11",46.355
"1945-12",64.562
"1946-01",102.082
"1946-02",79.599
"1946-03",41.343
"1946-04",51.395
"1946-05",142.349
"1946-06",85.319
"1946-07",33.895
"1946-08",13.592
"1946-09",28.430
"1946-10",50.574
"1946-11",79.457
"1946-12",65.752
"1947-01",57.766
"1947-02",40.550
"1947-03",55.218
"1947-04",88.603
"1947-05",177.264
"1947-06",157.215
"1947-07",76.059
"1947-08",22.144
"1947-09",14.215
"1947-10",47.997
"1947-11",42.900
"1947-12",122.640
"1948-01",84.299
"1948-02",83.025
"1948-03",71.868
"1948-04",106.188
"1948-05",131.843
"1948-06",96.645
"1948-07",46.015
"1948-08",18.038
"1948-09",19.935
"1948-10",100.213
"1948-11",101.658
"1948-12",78.664
"1949-01",46.864
"1949-02",44.146
"1949-03",36.331
"1949-04",67.479
"1949-05",164.153
"1949-06",201.899
"1949-07",65.893
"1949-08",31.007
"1949-09",26.731
"1949-10",48.847
"1949-11",67.224
"1949-12",48.139
"1950-01",21.181
"1950-02",44.429
"1950-03",63.939
"1950-04",96.136
"1950-05",191.365
"1950-06",134.222
"1950-07",79.485
"1950-08",32.338
"1950-09",26.958
"1950-10",64.364
"1950-11",116.212
"1950-12",86.281
"1951-01",54.991
"1951-02",53.774
"1951-03",88.660
"1951-04",78.636
"1951-05",129.663
"1951-06",225.572
"1951-07",139.489
"1951-08",49.781
"1951-09",22.116
"1951-10",83.393
"1951-11",111.172
"1951-12",122.357
"1952-01",64.223
"1952-02",137.167
"1952-03",40.182
"1952-04",86.621
"1952-05",130.881
"1952-06",102.337
"1952-07",38.596
"1952-08",15.178
"1952-09",16.679
"1952-10",75.946
"1952-11",57.993
"1952-12",39.247
"1953-01",24.721
"1953-02",53.547
"1953-03",31.800
"1953-04",84.186
"1953-05",129.210
"1953-06",94.578
"1953-07",48.932
"1953-08",16.622
"1953-09",10.647
"1953-10",7.561
"1953-11",8.948
"1953-12",25.259
"1954-01",194.480
"1954-02",95.569
"1954-03",39.587
"1954-04",68.244
"1954-05",114.882
"1954-06",109.303
"1954-07",89.821
"1954-08",26.193
"1954-09",17.075
"1954-10",39.927
"1954-11",80.505
"1954-12",131.730
"1955-01",60.202
"1955-02",78.664
"1955-03",45.109
